sentencePrep,label
"good afternoon loverboy  how goes you day  any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy
",0
"lmao take a pic and send it to me
",0
"when are you guys leaving
",0
"u calling me right call my hand phone
",0
"if we hit it off you can move in with me 
",0
"k my roommate also wants a dubsack and another friend may also want some so plan on bringing extra ill tell you when they know for sure
",0
"oh ok no prob
",0
"boo im on my way to my moms shes making tortilla soup yummmm
",0
"kkwhen are you going
",0
"win a £200 shopping spree every week starting now 2 play text store to 88039 skilgme tscs08714740323 1winawk age16 £150perweeksub
",1
"k ill take care of it
",0
"tell you what if you make a little spreadsheet and track whose idea it was to smoke to determine who smokes too much for the entire month of february ill come up
",0
"oops 4 got that bit
",0
"2p per min to call germany 08448350055 from your bt line just 2p per min check planettalkinstantcom for info  ts  cs text stop to opt out
",1
"thanx a lot 4 ur help
",0
"the world suffers a lot not because of the violence of bad people but because of the silence of good people gud night
",0
"hi elaine is todays meeting confirmed
",0
"sent me de webadres for geting salary slip
",0
"im at home please call
",0
"forwarded from 88877free entry into our £250 weekly comp just send the word enter to 88877 now 18 tc wwwtextcompcom
",1
"my phone
",0
"congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid your mates play java games dload polyph music noline rentl
",1
"call me when you get the chance plz lt3
",0
"hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
",0
"just nw i came to hme da
",0
"i dont have i shall buy one dear
",0
"this message is from a great doctor in india 1 do not drink appy fizz it contains cancer causing age
",0
"yes now only saw your message
",0
"keng rocking in ashes
",0
"eh den sat u book e kb liao huh
",0
"that would be great well be at the guild could meet on bristol road or somewhere  will get in touch over weekend our plans take flight have a good week
",0
"you got called a tool
",0
"as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
",0
"no idea i guess well work that out an hour after were supposed to leave since as usual nobody has any interest in figuring shit out before the last second
",0
"me n him so funny
",0
"save yourself the stress if the person has a dorm account just send your account details and the money will be sent to you
",0
"meeting u is my work   tel me when shall i do my work tomorrow
",0
"nite
",0
"she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out 5 minuts latr wid a caken my wife
",0
"im outside islands head towards hard rock and youll run into me
",0
"i have a rather prominent bite mark on my right cheek
",0
"thank u it better work out cause i will feel used otherwise
",0
"ü go home liao ask dad to pick me up at 6
",0
"reminder from o2 to get 250 pounds free call credit and details of great offers pls reply 2 this text with your valid name house no and postcode
",1
"im at home please call
",0
"its cool we can last a little while getting more any time soon
",0
"still i have not checked it da  
",0
"wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
",0
"ltgt ish minutes was 5 minutes ago wtf
",0
"i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me
",0
"are we doing the norm tomorrow i finish just a 415 cos of st tests need to sort library stuff out at some point tomo  got letter from today  access til end march so i better get move on
",0
"hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions play now send hmv to 86688 more infowww100percentrealcom
",1
"i only haf msn its yijuehotmailcom
",0
"sunshine quiz win a super sony dvd recorder if you canname the capital of australia text mquiz to 82277 b
",1
"lol  grins  im not babe but thanks for thinking of me
",0
"i can make it up there squeezed  ltgt  bucks out of my dad
",0
"latest nokia mobile or ipod mp3 player £400 proze guaranteed reply with win to 83355 now norcorp ltd£150mtmsgrcvd18
",1
"ive told him that ive returned it that should i re order it
",0
"oh lk tt den we take e one tt ends at cine lor dun wan yogasana oso can 
",0
"missing you toopray inshah allah
",0
"hmm ill have to think about it ok youre forgiven d
",0
"tmr then ü brin lar aiya later i come n c lar mayb ü neva set properly ü got da help sheet wif ü
",0
"i asked you to call him now ok
",0
"all sounds good fingers  makes it difficult to type
",0
"kdo it at evening daurgent
",0
"u 2
",0
"no need to say anything to me i know i am an outsider
",0
"yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for by the way who is this dont know number joke
",0
"im also came to room
",0
"i think that tantrums finished so yeah ill be by at some point
",0
"life alle moneeppolum oru pole allalo
",0
"am also doing in cbe only but have to pay
",0
"22 146tf150p
",1
"yes ammaelife takes lot of turns you can only sit and try to hold the steering
",0
"wake me up at  ltgt  am morning
",0
"or just do that 6times
",0
"i want to lick your pussy now
",0
"fancy a shag i dointerested sextextukcom txt xxuk suzy to 69876 txts cost 150 per msg tncs on website x
",1
"i havent add ü yet right 
",0
"or ill be a little closer like at the bus stop on the same street
",0
"good good billy mates all gone just been jogging again did enjoy concert
",0
"gal n boy walking in d park galcan i hold ur hand boyy do u think i would run away galno jst wana c how it feels walking in heaven with an princegn
",0
"nite nite pocay wocay luv u more than n e thing 4eva i promise ring u 2morrowxxxx
",0
"watch lor i saw a few swatch one i thk quite ok ard 116 but i need 2nd opinion leh
",0
"hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
",0
"wat so late still early mah or we juz go 4 dinner lor aiya i dunno
",0
"neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt  ltgt
",0
"i am literally in bed and have been up for like  ltgt  hours
",0
"hello baby did you get back to your moms  are you setting up the computer now  filling your belly  how goes it loverboy  i miss you already  sighs
",0
"friendship is not a game to play it is not a word to say it doesnt start on march and ends on may it is tomorrow yesterday today and e
",0
"urgent please call 0906346330 your abta complimentary 4 spanish holiday or £10000 cash await collection sae tcs box 47 po19 2ez 150ppm 18
",1
"nationwide auto centre or something like that on newport road i liked them there
",0
"no i didnt mean to post it i wrote it and like so many other times ive ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasnt there i checked on my phone when i got to my car it wasnt there you said you didnt sleep you were bored so why wouldnt that be the time to clean fold laundry etc at least make the bed
",0
"housemaid is the murderer coz the man was murdered on  ltgt th january as public holiday all govtinstituitions are closedincluding post officeunderstand
",0
"fantasy football is back on your tv go to sky gamestar on sky active and play £250k dream team scoring starts on saturday so register nowsky opt out to 88088
",1
"not much just some textin how bout you
",0
"its on in engalnd but telly has decided it wont let me watch it and mia and elliot were kissing damn it
",0
"this pain couldnt have come at a worse time
",0
"gud mrng dear hav a nice day
",0
"rofl its true to its name
",0
"how izzit still raining
",0
"i anything lor
",0
"back 2 work 2morro half term over can u c me 2nite 4 some sexy passion b4 i have 2 go back chat now 09099726481 luv dena calls £1minmobsmorelkpobox177hp51fl
",1
"thanx4 today cer it was nice 2 catch up but we ave 2 find more time more often oh well take care c u soonc
",0
"come to me right now ahmad
",0
"yun ahnow ü wkg wherebtw if ü go nus sc ü wana specialise in wad
",0
"my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
",0
"how come guoyang go n tell her then u told her
",0
"i dont have that much image in class
",0
"hmmmstill we dont have opener
",0
"better made up for friday and stuffed myself like a pig yesterday now i feel bleh but at least its not writhing pain kind of bleh
",0
"good afternoon my love  any job prospects  are you missing me  what do you do  are you being lazy and bleak hmmm  or happy and filled with my love 
",0
"yup anything lor if u dun wan its ok
",0
"i dont can you send it to me plus hows mode
",0
"c movie is juz last minute decision mah juz watch 2 lar but i tot ü not interested
",0
"can come my room but cannot come my house cos my house still messy haha
",0
"not a lot has happened here feels very quiet beth is at her aunts and charlie is working lots just me and helen in at the mo how have you been 
",0
"nofew hours beforewent to hair cut 
",0
"coffee cake i guess
",0
"you should change your fb to jaykwon thuglyfe falconerf
",0
"i have a sore throat its scratches when i talk
",0
"how are you enjoying this semester take care brother
",0
"the search 4 happiness is 1 of d main sources of unhappiness accept life the way it comes u will find happiness in every moment u live
",0
"i sent them do you like
",0
"you still at grand prix
",0
"sounds gd haha can wah u yan jiu so fast liao
",0
"a cute thought for friendship its not necessary to share every secret with ur close frnd but watever u shared should be true
",0
"no no i will check all rooms befor activities
",0
"im glad you are following your dreams
",0
"cool want me to go to kappa or should i meet you outside mu
",0
"just gettin a bit arty with my collages at the mo well tryin 2 ne way got a roast in a min lovely i shall enjoy that
",0
"your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt 
",0
"im on my way home went to change batt 4 my watch then go shop a bit lor
",0
"sorry light turned green i meant another friend wanted  ltgt  worth but he may not be around
",0
"do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love
",0
"were all getting worried over here derek and taylor have already assumed the worst
",0
"my friend shes studying at warwick weve planned to go shopping and to concert tmw but it may be canceled havnt seen  for ages yeah we should get together sometime
",0
"which is weird because i know i had it at one point
",0
"k k sms chat with me
",0
"what hello wats talks email address
",0
"so ü pay first lar then when is da stock comin
",0
"r u in this continent
",0
"excellent ill see what rileys plans are
",0
"tell them u have a headache and just want to use 1 hour of sick time
",0
"im in a movie collect car oredi
",0
"of course  dont tease me  you know i simply must see  grins  do keep me posted my prey  loving smile devouring kiss
",0
"early bird any purchases yet
",0
"lol its ok i didnt remember til last nite
",0
"same as u dun wan y u dun like me already ah wat u doing now still eating
",0
"im working technical support voice processnetworking field
",0
"oh ya got hip hop open haha i was thinking can go for jazz then zoom to cine actually tonight im free leh and theres a kb lesson tonight
",0
"hey whats up charles sorry about the late reply
",0
"18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 83222
",1
"bognor it is should be splendid at this time of year
",0
"don knowwait i will check it
",0
"hey doc pls i want to get nice t shirt for my hubby nice fiting ones my budget is  ltgt k help pls i will load d card abi hwkeep me posted luv 2 mj
",0
"why are u up so early
",0
"mon okie lor haha best is cheap n gd food la ex oso okie depends on whether wana eat western or chinese food den which u prefer 
",0
"ok ur typical reply
",0
"as usualiam fine happy amp doing well
",0
"have  good weekend
",0
"hey babe hows it going  did you ever figure out where your going for new years 
",0
"my uncles in atlanta wish you guys a great semester
",0
"you have been specially selected to receive a 2000 pound award call 08712402050 before the lines close cost 10ppm 16 tcs apply ag promo
",1
"u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094599
",1
"please call our customer service representative on freephone 0808 145 4742 between 9am11pm as you have won a guaranteed £1000 cash or £5000 prize
",1
"1000s of girls many local 2 u who r virgins 2 this  r ready 2 4fil ur every sexual need can u 4fil theirs text cute to 69911£150p m
",1
"he said i look pretty wif long hair wat but i thk hes cutting quite short 4 me leh
",0
"okie ü wan meet at bishan cos me at bishan now im not driving today
",0
"loans for any purpose even if you have bad credit tenants welcome call noworriesloanscom on 08717111821
",1
"then ü come n pick me at 530 ar
",0
"when people see my msgs they think iam addicted to msging they are wrong bcoz they dont know that iam addicted to my sweet friends bslvyl
",0
"good afternoon my love how goes that day  i hope maybe you got some leads on a job i think of you boytoy and send you a passionate kiss from across the sea
",0
"hey j r u feeling any better hopeso hunny i amnow feelin ill  ithink i may have tonsolitusaswell damn iam layin in bedreal bored lotsof luv me xxxx
",0
"mostly sports typelyk footblcrckt
",0
"mm you ask him to come its enough 
",0
"please call 08712402972 immediately as there is an urgent message waiting for you
",1
"ok no prob ill come after lunch then
",0
"yes i know the cheesy songs from frosty the snowman 
",0
"have you ever had one foot before
",0
"im always looking for an excuse to be in the city
",0
"its a taxt massagetiepos argh ok lool
",0
"hellogorgeous hows u my fone was on charge lst nitw wen u texd me hopeu ad a nice wkend as im sure u did lookin 4ward 2 cin u 2mrw luv jaz
",0
"hot live fantasies call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call
",1
"if i not meeting ü all rite then ill go home lor if ü dun feel like comin its ok
",0
"just finished missing you plenty
",0
"im really not up to it still tonight babe
",0
"ki deleted my contact that why
",0
"you stayin out of trouble strangersaw dave the other day hes sorted nowstill with me bloke when u gona get a girl mrur mum still thinks we will get 2getha 
",0
"kkhow is your sister kids
",0
"u sleeping now or you going to take haha i got spys wat me online checking n replying mails lor
",0
"lol that would be awesome payback
",0
"wait  i will msg after  ltgt  min
",0
"i will be gentle princess we will make sweet gentle love
",0
"im back lemme know when youre ready
",0
"nah cant help you there ive never had an iphone
",0
"where to get those
",0
"goodmorning today i am late for  ltdecimalgt min
",0
" thought i didnt see you
",0
"sir hope your day is going smoothly i really hoped i wont have to bother you about this i have some bills that i cant settle this month i am out of all extra cash i know this is a challenging time for you also but i have to let you know
",0
"natalja 25f is inviting you to be her friend reply yes440 or no440 see her wwwsmsacunat27081980 stop send stop frnd to 62468
",1
"well you know what i mean texting
",0
"tunji hows the queen how are you doing this is just wishing you a great day abiola
",0
"i dunno lei like dun haf
",0
"uncle g just checking up on you do have a rewarding month
",0
"r u here yet im wearing blue shirt n black pants
",0
"hello darling how are you today i would love to have a chat why dont you tell me what you look like and what you are in to sexy
",1
"dont make life too stressfull always find time to laugh it may not add years to your life but surely adds more life to ur years gud ni8swt dreams
",0
"studying but ill be free next weekend
",0
"hey leave it not a big deal take care
",0
"no shoot me im in the docs waiting room 
",0
"fuck babe i miss you sooooo much  i wish you were here to sleep with me  my bed is so lonely  i go now to sleep  to dream of you my love 
",0
"if you arent here in the next  ltgt  hours imma flip my shit
",0
"not heard from u4 a while call 4 rude chat private line 01223585334 to cum wan 2c pics of me gettin shagged then text pix to 8552 2end send stop 8552 sam xxx
",1
"send his number and give reply tomorrow morning for why you said that to him like that ok
",0
"that seems unnecessarily hostile
",0
"ok lor but not too early me still having project meeting now
",0
"can ü all decide faster cos my sis going home liao
",0
"happy valentines day i know its early but i have hundreds of handsomes and beauties to wish so i thought to finish off aunties and uncles 1st
",0
"ok
",0
"and very importantly all we discuss is between u and i only
",0
"my house here e sky quite dark liao if raining then got excuse not 2 run already rite hee
",0
"oh ok wait 4 me there my lect havent finish
",0
"is ur paper in e morn or aft tmr
",0
"can i please come up now imin towndontmatter if urgoin outl8rjust reallyneed 2docdplease dontplease dontignore mycallsu no thecd isvimportant tome 4 2moro
",0
"hi  where are you were at  and theyre not keen to go out i kind of am but feel i shouldnt so can we go out tomo dont mind do you
",0
"i dont want to hear philosophy just say what happen
",0
"yes there were many sweets
",0
"am in gobi arts college
",0
"must come later i normally bathe him in da afternoon mah
",0
"youll never believe this but i have actually got off at taunton wow
",0
"thank you i like you as well
",0
"dear umma she called me now 
",0
"science tells that chocolate will melt under the sunlight please dont walk under the sunlight bcozi dont want to loss a sweet friend
",0
"hi wkend ok but journey terrible wk not good as have huge back log of marking to do
",0
"sounds like something that someone testing me would sayy
",0
"auntie huai juan never pick up her phone
",0
"im done
",0
"oh  a half hour is much longer in syria than canada eh  wow you must get so much more work done in a day than us with all that extra time  grins
",0
"onum ela pa normal than
",0
"great so what attracts you to the brothas
",0
"he didnt see his shadow we get an early spring yay
",0
"ill be in sch fr 46 i dun haf da book in sch its at home
",0
"thats cool where should i cum on you or in you 
",0
"i got to video tape pple type in message lor u so free wan 2 help me hee cos i noe u wan 2 watch infernal affairs so ask u along asking shuhui oso
",0
"im meeting darren
",0
"congrats  treat pendingi am not on mail for 2 dayswill mail once thrurespect mother at homecheck mails
",0
"hey babe far 2 spunout 2 spk at da mo dead 2 da wrld been sleeping on da sofa all day had a cool nytho tx 4 fonin hon call 2mwen im bk frmcloud 9 j x
",0
"ü come lt 25 n pass to me lar
",0
"its hard to believe things like this all can say lie but think twice before saying anything to me
",0
"today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
",0
"important information 4 orange user 0796xxxxxx today is ur lucky day2 find out why log onto httpwwwurawinnercom theres a fantastic prizeawaiting you
",1
"get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to 84199 optout txt eng stop box39822 w111wx £150
",1
"sim watching it in live
",0
"indians r poor but india is not a poor country says one of the swiss bank directors he says that  ltgt  lac crore of indian money is deposited in swiss banks which can be used for taxless budget for  ltgt  yrs can give  ltgt  crore jobs to all indians from any village to delhi 4 lane roads forever free power suply to more than  ltgt  social projects every citizen can get monthly  ltgt  for  ltgt  yrs no need of world bank amp imf loan think how our money is blocked by rich politicians we have full rights against corrupt politicians itna forward karo ki pura india padhegm
",0
"aight ill get on fb in a couple minutes
",0
"welcome to select an o2 service with added benefits you can now call our specially trained advisors free from your mobile by dialling 402
",1
"babe have you got enough money to pick up bread and milk  and ill give you it back when you get home 
",0
"we regret to inform u that the nhs has made a mistakeu were never actually bornplease report 2 yor local hospital 2b terminatedwe r sorry 4 the inconvenience
",0
"ok lor
",0
"i am taking you for italian food how about a pretty dress with no panties 
",0
"does she usually take fifteen fucking minutes to respond to a yes or no question
",0
"pandy joined 4w technologies todayhe got job
",0
"good words but words may leave u in dismay many times
",0
"urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or £1000 to claim txt dis to 87121 186£150morefrmmob shracomorsglsuplt10 ls1 3aj
",1
"no got new job at bar in airport on satsgettin 447per hour but means no lie in keep in touch
",0
"what happened in interview
",0
"of cos can lar im not so ba dao ok 1 pm lor y u never ask where we go ah i said u would ask on fri but he said u will ask today
",0
"show ur colours euro 2004 241 offer get an england flag  3lions tone on ur phone click on the following service message for info
",1
"sorry pa i dont knw who ru pa
",0
"buzzzz grins did i buzz your ass buzz your chest  buzz your cock  where do you keep your phone  is the vibrator on  did you feel it shake 
",0
"i want to sent  ltgt mesages today thats y sorry if i hurts
",0
"hows my loverboy doing  what does he do that keeps him from coming to his queen hmmm  doesnt he ache to speak to me  miss me desparately 
",0
"kthen come wenever u lik to come and also tel vikky to come by getting free time
",0
"im not driving raining then ill get caught at e mrt station lor
",0
"do you like italian food
",0
"you can never do nothing
",0
"great i was getting worried about you just know that a wonderful and caring person like you will have only the best in life know that u r wonderful and gods love is yours
",0
"dear where you will be when i reach there
",0
"but my family not responding for anything now am in room not went to home for diwali but no one called me and why not coming it makes me feel like died
",0
"yes see ya not on the dot
",0
"once free call me sir
",0
"am okay will soon be over all the best
",0
"aiyar sorry lor forgot 2 tell u
",0
"happy new year princess
",0
"tonight yeah id be down for that
",0
"sorry sent blank msg again yup but trying 2 do some serious studying now
",0
"life is nothing wen v get everything but life is everything wen v miss something  real value of people wil be realized only in their absence gud mrng
",0
"nt only for driving even for many reasons she is called bbdthts it chikku then hw abt dvg coldheard tht vinobanagar violence hw is the conditionand hw ru  any problem
",0
"love it i want to flood that pretty pussy with cum
",0
"i call you later dont have network if urgnt sms me
",0
"we took hooch for a walk toaday and i fell over splat grazed my knees and everything should have stayed at home see you tomorrow 
",0
"aight call me once youre close
",0
"december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906
",1
"oh my god im almost home
",0
"good morning plz call me sir
",0
"wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
",0
"kkare you in college
",0
"ü still attending da talks
",0
"you have been specially selected to receive a 3000 award call 08712402050 before the lines close cost 10ppm 16 tcs apply ag promo
",1
"convey my regards to him
",0
"hey there babe how u doin wot u up 2 2nite love annie x
",0
"aight well head out in a few
",0
"dizzamn aight ill ask my suitemates when i get back
",0
"for real when u getting on yo i only need 2 more tickets and one more jacket and im done i already used all my multis
",0
"im home
",0
"not tonight mate catching up on some sleep this is my new number by the way 
",0
"cant think of anyone with  spare room off  top of my head
",0
"carlosll be here in a minute if you still need to buy
",0
"shall i start from hear
",0
"at 4 lets go to bill millers
",0
"guess what somebody you know secretly fancies you wanna find out who it is give us a call on 09065394973 from landline datebox1282essexcm61xn 150pmin 18
",1
"shall i come to get pickle
",0
"i sent lanre fakeyes eckankar details to the mail box
",0
"i cant believe how attached i am to seeing you every day i know you will do the best you can to get to me babe i will go to teach my class at your midnight
",0
"dear friends sorry for the late information today is the birthday of our loving arpraveesh for more details log on to face book and see its his number  ltgt  dont miss a delicious treat
",0
"hostbased idps for linux systems
",0
"i am not at all happy with what you saying or doing
",0
"i want to sent  ltgt mesages today thats y sorry if i hurts
",0
"thanx 4 the time weve spent 2geva its bin mint ur my baby and all i want is uxxxx
",0
"oh ic i thought you meant mary jane
",0
"miss call miss call khelate kintu opponenter miss call dhorte lage thats d rule one with great phone receiving quality wins
",0
"also remember to get dobbys bowl from your car
",0
"wishing you and your family merry x mas and happy new year in advance
",0
"you intrepid duo you have a great time and see you both soon 
",0
"my computer just fried the only essential part we dont keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  ltgt 7
",0
"and i dont plan on staying the night but i prolly wont be back til late
",0
"can you do a mag meeting this avo at some point
",0
"o ic lol should play 9 doors sometime yo
",0
"moby pub quizwin a £100 high street prize if u know who the new duchess of cornwall will be txt her first name to 82277unsub stop £150 008704050406 sp
",1
"dear relieved of westonzoyland all going to plan this end too
",0
"oh ki think most of wi and nz players unsold
",0
"i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop
",0
"ok is any problem to u frm him wats matter
",0
"nah im goin 2 the wrks with j wot bout u
",0
"i know im lacking on most of this particular dramastorms details but for the most part im not worried about that
",0
"thats fine have him give me a call if he knows what he wants or has any questions
",0
"see i knew giving you a break a few times woul lead to you always wanting to miss curfew i was gonna gibe you til one but a midnight movie is not gonna get out til after 2 you need to come home you need to getsleep and if anything you need to b studdying ear training
",0
"pls help me tell ashley that i cant find her number oh
",0
"somewhr someone is surely made 4 u and god has decided a perfect time to make u meet dat person    till den      enjoy ur crushes
",0
"dear i have reache room
",0
"sorry ill call later in meeting any thing related to trade please call arul ltgt 
",0
"hmm shall i bring a bottle of wine to keep us amused just joking ill still bring a bottle red or white see you tomorrow
",0
"i cant pick the phone right now pls send a message
",0
